region,total_cells,total_area,density_mm2
ZI,7,99786.29999999999,70.14991035843599
act,3,33361.1,89.92509239803245
cc,53,1315912.0,40.276249475648825
ccb,48,1142438.7000000002,42.015383407442336
chpl,0,440392.6,0.0
cing,1,183573.90000000002,5.447397478617603
cm,21,369350.7,56.85653228760633
cst,18,422611.8,42.592279723377345
df,0,46416.2,0.0
ec,4,151706.0,26.366788393339746
ee,1,21767.300000000003,45.94047033853532
fa,4,151706.0,26.366788393339746
fi,11,1038211.5,10.595143667740146
fiber tracts,132,4647569.5,28.40194213340973
fx,1,99447.6,10.055546840748292
fxpo,1,99447.6,10.055546840748292
fxs,18,1426849.6,12.615204854106556
grey,2248,39022855.400000006,57.607265715363305
hc,6,242774.2,24.71432302114475
int,18,422611.8,42.592279723377345
lfbs,71,1738523.8,40.83924534136375
lot,0,11031.2,0.0
lotg,0,11031.2,0.0
mfbc,22,1752982.7999999998,12.550037570248836
mfbs,25,1944970.9,12.853662746316667
mfbse,3,191988.2,15.625960345479564
mfsbshy,3,191988.2,15.625960345479564
och,6,145292.59999999998,41.29597790940489
opt,15,213026.90000000002,70.4136425963106
root,2470,46276319.099999994,53.37503172329885
sAMY,56,1009215.0,55.48867188854704
scwm,3,320526.7,9.359594692111452
sm,3,191988.2,15.625960345479564
st,0,109198.2,0.0
vhc,6,242774.2,24.71432302114475
